,title,description
1117,"
Dak Prescott reiterates he wants to remain with Cowboys long term but focus is on 2024
","The Cowboys continue to insist Dak Prescott will be on the team long term, but they have done nothing to ensure that. "
1118,"
Steelers decline Najee Harris’ 2025 option
",Harris is now on track to become a free agent next year. 
1119,"
Jim Bob Cooter: We don’t want to restrict Anthony Richardson’s “extreme athletic talent”
",Colts quarterback Anthony Richardson is back in action after his rookie year prematurely ended due to shoulder surgery. 
1120,"
Colts pick up Kwity Paye’s fifth-year option
",Colts defensive end Kwity Paye had his fifth-year option picked up today. 
1121,"
Eric Kendricks explains why he picked Cowboys over 49ers
",Linebacker Eric Kendricks was the first outside free agent the Cowboys signed. 
1122,"
Sean McVay wants to keep Matthew Stafford “as long as he wants to play”
",Matthew Stafford wants the Rams to put their money where their mouth is. 
1123,"
Mike Onwenu expects to remain at right tackle this season
","Mike Onwenu’s versatility has come in handy for the Patriots over the last four seasons, but he’s hoping that won’t be on display during the 2024 season. "
1124,"
America’s Vote: Who will win the 150th Kentucky Derby?
",Make your pick for the 150th Running of the Roses.
1125,"
Packers to decline CB Eric Stokes’ fifth-year option
","The Packers will decline the fifth-year option on cornerback Eric Stokes, according to NFL Media’s Mike Garafolo. "
1126,"
Titans won’t pick up Caleb Farley’s fifth-year option
",The Titans haven’t gotten much from cornerback Caleb Farley over his first three NFL seasons and they aren’t making any plans for a fifth year. 
1127,"
Jason Licht: Part of the DNA of this football team is trying to prove everybody wrong
","After Tom Brady retired last offseason, most expected the Buccaneers to take a significant step back in 2023. "
1128,"
Olympic figure skating gold medalist Sjoukje Dijkstra dies at 82
","Sjoukje Dijkstra of the Netherlands, who won the 1964 Olympic women’s singles figure skating title, has died."
1129,"
LB Omar Speights among 16 undrafted rookies to agree to sign with Rams
",The Rams announced agreements with 16 undrafted rookie free agents on Thursday. 
1130,"
2024 Post-Draft Dynasty Rookie Rankings: Running Back
",Kyle Dvorchak breaks down his rookie running back rankings for dynasty leagues following the 2024 NFL Draft. 
1131,"
Players who have received USGA special exemptions into the U.S. Open, and how they fared
","A list of player who have received special exemptions into the U.S. Open, and how they fared."
1132,"
Noah Gragson’s career season a result of new approach at Stewart-Haas Racing
",Noah Gragson has posted four top-10 finishes in the first 11 races this season. 
1133,"
Nick Caserio: Dameon Pierce will be “big part” of what we’re doing
","The Texans traded for running back Joe Mixon and gave him a contract extension this offseason, but that doesn’t mean the team is ready to move on from Dameon Pierce. "
1134,"
Erik Jones cleared to race but will still sit out Kansas race
",Corey Heim will again drive the No. 43 for Erik Jones at Kansas Speedway. Jones set to return at Darlington.
1135,"
Joey Slye agrees to sign with Patriots 
",Veteran kicker Joey Slye didn’t have to wait long to find a new home. 
1136,"
Tiger Woods accepts special exemption into U.S. Open at Pinehurst
",Woods hasn’t played in a U.S. Open since 2020 at Winged Foot and is the first special invite since Phil Mickelson in 2021.
1137,"
Ryan Poles: Bears never gave a thought to not picking Rome Odunze at No. 9
",The Bears knew long before the draft that they were going to take quarterback Caleb Williams with the No. 1 pick. 
1138,"
Panthers part ways with director of pro personnel, asst. director of pro personnel
","In the aftermath of the 2024 draft, the Panthers have made some changes to their scouting department. "
1139,"
One more run: USA Basketball leans on veterans LeBron, Durant, Curry to win gold in Paris
","While the ongoing NBA playoffs feels like a changing of the guard, Team USA is leaning on those trusted veterans."
1140,"
Robert Kraft sends strong message about rampant campus protests
","Patriots owner Robert Kraft, founder of the Foundation to Combat Antisemitism, has placed a full-page ad in multiple newspapers in major markets denouncing the ongoing protests on college campuses that have crossed the line from free speech into unlawful activities. "
1141,"
NBA Playoffs: Betting Game 6 of Cleveland vs. Orlando
",The experience of the Cavaliers vs. the enthusiasm of the Magic
1142,"
World Gymnastics Championships head to Indonesia for first time in 2025
","Jakarta, Indonesia will host the 2025 World Artistic Gymnastics Championships."
1143,"
Andrew Berry: Nick Chubb is progressing nicely given this point in time
","After suffering a season-ending knee injury in Week 2 of last season, Browns running back Nick Chubb continues to progress in his recovery. "
1144,"
Matthew Berry’s Love/Hate post 2024 NFL Draft
",Matthew Berry runs down his Love/Hate players in the aftermath of the 2024 NFL Draft based on their current fantasy value.
1145,"
Ryder Cup star, CBS Sports analyst Peter Oosterhuis dies at 75
","Oosterhuis had a successful playing career but, for a generation of golf fans, will likely be remembered for his work as a broadcaster."
1146,"
Jeff Pash will retire from league office
",NFL general counsel Jeff Pash is stepping down. 
1147,"
Daniel Jones: I’m focused on what I can control, I’ll be ready to go
","There was no shortage of pre-draft chatter about the Giants being potential players for a quarterback at the top of the draft, but the team wound up going in another direction. "
1148,"
Ricky Stenhouse Jr. signs multi-year extension with JTG Daugherty Racing 
",Ricky Stenhouse Jr. is in his fifth season with JTG Daugherty Racing and won the 2023 Daytona 500 with the team.
1149,"
Demolition of RFK Stadium may proceed
",It will be impossible for the Washington Commanders to truly turn the page on the Dan Snyder era without finding a new stadium to replace the craphole in which they currently play. 
1150,"
Michael Andretti blasts Team Penske response to push to pass scandal: ‘None of the stories matched up’
","In an interview with Kenny Wallace, the Andretti Global owner says he would have handled the controversy ‘a lot differently.’"
1151,"
The ship might be sailing on taxpayer money for NFL stadiums
","For more than a decade, it’s been obvious that voters won’t support any proposal to give NFL owners taxpayer money for stadium construction or renovation. "
1152,"
Brittney Griner says she thought about killing herself during first few weeks in Russian jail
",Brittney Griner spoke for the first time about her monthslong detention in Russia.
1153,"
Sungjae Im withdraws before Round 1 of CJ Cup Byron Nelson
",Im was coming off a win last week in South Korea.
1154,"
Top-seeded Jannik Sinner withdraws from Madrid Open because of hip injury
",Jannik Sinner defeated Karen Khachanov in the fourth round and was scheduled to face Felix Auger-Aliassime in the quarterfinals.
1155,"
Dak Prescott “super excited” about Ezekiel Elliott’s return
","Most of the questions directed to Cowboys quarterback Dak Prescott this offseason have focused on his contract, but he got a chance to field queries on another topic Wednesday. "
1156,"
2024 Kentucky Derby Presents Challenging Puzzle, From Top Contenders to Long Shots to Root For
","From the underdogs to the overbet, a look at the full field for the 2024 Kentucky Derby."
1157,"
Sebastian Soderberg fires 63 to co-lead Volvo China Open on DP World Tour
",Soderberg has had runner-up finishes in his last two DP World Tour starts.
1158,"
Jaylen Warren: Steelers’ special teams coach has discussed Justin Fields returning kicks
","Cordarrelle Patterson, Justin Fields could be compelling one-two punch."
1159,"
Ben Polland leads 20 PGA professionals headed to Valhalla for PGA Championship
","Polland atoned for a crushing defeat nine years ago, claiming the PGA Professional Championship."
1160,"
How to watch WWE Backlash France: Schedule, start time, TV and streaming info, matches
",A trio of newly crowned world champions headline WWE’s fourth Premium Live Event of the year.
1161,"
Chris Lindstrom: When you watch the way Kirk Cousins works, it’s remarkable
","Having entered the league as Atlanta’s first-round pick in 2019, guard Chris Lindstrom was around for the final years of quarterback Matt Ryan’s tenure with the Falcons. "
1162,"
Arena Football League is off the NFL Network schedule, through next Thursday
","In March, the NFL announced that Arena Football League games would be televised on NFL Network. "
1163,"
Nick Caserio: Tank Dell doing great, making progress
",Texans General Manager Nick Caserio offered an update on wide receiver Tank Dell this week. 
1164,"
Inter Miami CF to debut Dolphins-inspired alternate uniform
",Inter Miami CF can’t do much to top adding Lionel Messi. 
1165,"
Alijah Vera-Tucker: “Kind of comforting” to focus on one position
",The Jets took one thing off of Alijah Vera-Tucker’s mind by picking up their option on his contract for the 2025 season and they’ve simplified his preparation for the 2024 season as well. 
1166,"
Bills’ UK rookie Travis Clayton never played football, but always dreamed of the NFL
","Travis Clayton grew up in England, and like most big, strong, British kids, he played rugby as an outlet for his aggression. "
1167,"
Refugee Olympic Team for Paris Games announced with 36 athletes
",Refugee Olympic Team for Paris Games includes 36 athletes across a range of sports.
1168,"
2024 NBA Playoffs Takeaways: Clippers’ Harden, George have ‘one of those nights.’ Again.
",The Clippers miss the steady hand of a healthy Kawhi Leonard this series.
1169,"
Jaylon Johnson switches to No. 1 for 2024 season
",Bears cornerback Jaylon Johnson signed a new contract earlier this year and he will play the first season of the deal with a new number. 
1170,"
Jermaine Johnson: Jets are “perfect situation” for Jordan Travis
",Jets edge rusher Jermaine Johnson will be welcoming a former Florida State teammate to the club this year. 
1171,"
NASCAR Cup, Truck weekend schedule for Kansas
",Two of the national NASCAR series return to action at Kansas Speedway. 
1172,"
Darius Slayton confident contract situation will be resolved soon
","Wide receiver Darius Slayton was in New York on Wednesday, but it wasn’t because he changed course on attending the Giants’ voluntary workouts. "
1173,"
Chiefs were wise to give Travis Kelce a raise
",It’s rare for teams to rip up the remaining years on a player’s contract and replace them with more. 
1174,"
Borussia Dortmund 1-0 Paris Saint-Germain: Fullkrug’s marker gives BVB edge
",Niclas Fullkrug’s first-half goal helped Borussia Dortmund take a 1-0 lead over Paris Saint-Germain in a UEFA Champions League semifinal first leg at the Westfalenstadion on Wednesday.
1175,"
Fantasy Baseball: May Top 300 Overall ROS Rankings
",Matthew Pouliot breaks down the May Top 300 overall rankings in fantasy baseball.
1176,"
May Reliever Rankings
",Matthew Pouliot breaks down the May relief pitcher rankings in fantasy baseball.
1177,"
May Outfielder Rankings
",Matthew Pouliot breaks down the May outfielder rankings in fantasy baseball. 
1178,"
May Starter Rankings
",Matthew Pouliot breaks down the May starting pitcher rankings in fantasy baseball.
1179,"
May Third Baseman Rankings
",Matthew Pouliot breaks down the May third baseman rankings in fantasy baseball.
1180,"
May Shortstop Rankings
",Matthew Pouliot breaks down the May shortstop rankings in fantasy baseball.
1181,"
May Second Baseman Rankings
",Matthew Pouliot breaks down the May second baseman rankings.
1182,"
May First Baseman and DH Rankings
",Matthew Pouliot breaks down the May first baseman and designated hitter rankings.
1183,"
May Catcher Rankings
",Matthew Pouliot breaks down the May catcher rankings.
1184,"
Illinois governor’s office meets with Bears, calls their stadium proposal “a non-starter”
","Bears stadium proposal is dead on arrival, as far as the governor is concerned."
1185,"
Saves and Steals: Duran joins the ranks
",Jorge Montanez breaks down the week of saves across baseball in his weekly closer rankings and highlights some steals options on the waiver wire.
1186,"
Sick? Sore knee? Nobody could tell as Luka Doncic scores 35, leads Mavericks to Game 5 win vs. Clippers
",Dallas goes home for Game 6 Friday with a chance to close out the series.
1187,"
Celtics advance to East semifinals, beating short-handed Heat 118-84 in Game 5
","The Celtics doubled up the Heat in the first quarter, 32-16, and led by as many as 37."
1188,"
NBA Playoff Best Bets for Game 6: Knicks vs 76ers and Cavaliers vs Magic
","Vaughn Dalzell breaks down how he’s betting on both Game 6’s between the Knicks and 76ers, plus the Cavaliers at the Magic. "
1189,"
Ezekiel Elliott on return to Cowboys: I’m here to chase a dream
","In Ezekiel Elliott’s rookie season of 2016, the Cowboys went 13-3 and had home-field advantage throughout the NFC playoffs. "
1190,"
DaRon Bland: Trevon Diggs’ return is going to be “something dangerous”
",Cowboys cornerback Trevon Diggs tore the anterior cruciate ligament in his left knee in a Sept. 21 practice. 
1191,"
Jordan Spieth riffed on how Scottie Scheffler is inspiring him, and it was amazing
","Spieth said while he is inspired by what Scheffler is doing in pro golf right now, he admits it “sucks” and makes him want to get better."
1192,"
Deion, Shedeur Sanders go on offensive against former player who questioned Coach Prime
","After we dared to point out the sharp drop in attendance from the 2023 Colorado spring game to the 2024 version, the haters took their knives out — ignoring the fact that I led the charge last September to get Deion Sanders to the NFL as a head coach. "
1193,"
Jermaine Johnson not resting on 2023: Success is leased, not owned
","Jets defensive end Jermaine Johnson II was a first-round pick in 2022, but his rookie season didn’t go as expected. "
1194,"
Terry Pegula transfers “small percentage” of Bills ownership to his daughter, Laura
","Bills owner Terry Pegula has apparently commenced succession planning by transferring a “small percentage” of the team to his daughter, Laura. "
1195,"
Kevin Love: ‘I don’t want to retire. I would like to keep playing’
",Love played in 55 games for the Heat this season and has a $4 million player option for next season. 
1196,"
Player director Jordan Spieth says mixed reaction for PGA Tour’s Player Equity Program
","The equity grants have created plenty of questions among those who did and, most notably, did not receive equity."
1197,"
2024 Post-Draft Dynasty Rookie Rankings: Wide Receiver
",Kyle Dvorchak breaks down his rookie wide receiver rankings for dynasty leagues following the 2024 NFL Draft.
1198,"
As expected, Cowboys decline fifth-year option on Trey Lance’s contract
","The Cowboys will not exercise the fifth-year option on quarterback Trey Lance’s contract, Todd Archer or ESPN reports. "
1199,"
Rex & Lav podcast: Health concerns for Jordan Spieth, Tiger Woods
","“Dr.” Lav and Rex discuss myriad health issues, from Jordan to Tiger to Willy Z."
1200,"
NASCAR Cup drivers to watch Sunday at Kansas Speedway
",Toyota drivers have won four consecutive races at Kansas Speedway. 
1201,"
Kentucky Derby 2024 post positions: Draw announced, odds for 150th Derby
","With the 2024 Kentucky Derby Draw Show taking place on Saturday, fans now know where every Derby horse will start during the “fastest two minutes in sports.”"
1202,"
Seahawks waive LB Levi Bell
",The Seahawks cleared a roster spot for incoming rookie signings on Wednesday. 
1203,"
Cowboys confident Ezekiel Elliott can lead a running back-by-committee backfield
",The Cowboys do not have an RB1 on their roster and might not when the season starts. 
1204,"
NASCAR Best Bets: The Advent Health 400 at Kansas Speedway
",Defending champ Denny Hamlin looks to go back-to-back and earn his 4th win of the Season
1205,"
NFL renews X partnership without announcement or quotes from league
","Earlier this week, the NFL and X quietly renewed their partnership. "
1206,"
Tyler Boyd met with Chargers, set to meet with Titans
",One of the few unsigned players left on PFT’s list of this year’s top free agents is drawing some interest. 
1207,"
Peers vote Timberwolves’ Mike Conley Teammate of the Year
",The Nets Mikal Bridges finished a close second. 
1208,"
Betting the NBA Playoffs: Denver vs. Minnesota
",Murray’s Health may be the deciding factor in the Series 
1209,"
Bears waive P Trenton Gill
","After selecting Tory Taylor over the weekend, the Bears have let go of their previous punter. "
1210,"
Giants sign free agent defensive back David Long
",The Giants have added some veteran depth in the secondary and on special teams today. 
1211,"
“Anti-SLAPP” motion to dismiss is filed against Dak Prescott’s lawsuit
",The extortion lawsuit filed by Cowboys quarterback Dak Prescott might have opened the door for his alleged victim to sue him for sexual assault. 
1212,"
2024 Supercross Round 16, Denver by the numbers: Four winners in four previous rounds
",Eli Tomac hopes to end the streak of unique Denver winners and exact a measure of revenge for last year’s season-ending injury. 
1213,"
Travis Kelce: Xavier Worthy is a football player, not a track star
","With or without Rashee Rice, Chiefs tight end Travis Kelce should have more help this season than he had last season and maybe even the previous season. "
1214,"
C.J. Mosley: It’s not always about the money, I wanted to be here
",Linebacker C.J. 
1215,"
Jessie Bates on Michael Penix selection: As a leader, I have to say, “This is the vision”
","When the Falcons elected to select quarterback Michael Penix Jr. at No. 8 overall last week, it sent shockwaves throughout the league — including with the team’s players. "
1216,"
May MLB Team Power Rankings: Braves on top, Royals sneak in top 10
",D.J. Short unveils his MLB Team Power Rankings for the month of May. 
1217,"
Ezekiel Elliott will wear No. 15 during second stint with Cowboys
","Running back Ezekiel Elliott is back with the Cowboys, but he’ll be sporting a different look in his second stint with the team. "
1218,"
Michael Jordan: NASCAR not making permanent team charters would be a ‘big miss’
",The co-owner of 23XI Racing expressed his opinion in an article by The New York Times.
1219,"
Teams, individuals revealed for NCAA DI men’s golf regionals
",Here are the teams and individuals selected for the six regional sites.
1220,"
Kyle Dake can complete his wrestling story at Paris Olympics
",Kyle Dake won the U.S. Olympic Wrestling Trials and can complete a decade-plus journey at the Paris Games.
1221,"
For trainer Larry Demeritte and West Saratoga, the rarest of paths to the 150th Kentucky Derby
",It’s been a winding journey for Demeritte to horse racing’s biggest stage.
1222,"
Ryan Poles: We drafted P Tory Taylor to make opposing offenses uncomfortable
","The Bears brought in the fourth round of this year’s draft, making him the first punter off the board. "
1223,"
For LeBron, playing with Bronny reportedly not the same level of priority it once was 
",“The young man will decide what he wants to do and how he wants his career to go.”
1224,"
Jacoby Brissett: Excited about Drake Maye, competition brings out best in us
","When Jacoby Brissett signed with the Patriots in March, he knew there was a good chance that he wouldn’t be the only player pursuing the team’s starting quarterback job this offseason. "
1225,"
Dolphins “not for sale” after Stephen Ross rejects $10 billion offer 
","Yes, the value of NFL franchises continues to skyrocket. "
1226,"
Saints to sign DB Will Harris to one-year deal
",The Saints are adding some depth to their secondary. 
1227,"
Another report 76ers, Magic eyeing Paul George, who has not extended with Clippers
",It may come down to this: Are the Clippers willing to give Paul George a four-year max?
1228,"
Monti Ossenfort: We had “more than enough” info on Marvin Harrison to pick him
","With his success and ability displayed at the college level, receiver Marvin Harrison Jr. elected to skip several parts of the pre-draft process. "
1229,"
Falcons talked to Jets about trading for No. 10 pick after drafting Michael Penix
",The Falcons’ shocking first round of the 2024 NFL draft could have been even more shocking. 
1230,"
NFL should re-take Labor Day weekend
","23 years after abandoning the unofficial end of summer, the NFL should re-claim it."
1231,"
Travis Kelce “grateful” for new deal, happy to raise bar for tight ends
","Kelce signed a new two-year, $34.25 million contract with the Chiefs this week. "
1232,"
Kansas legislature adjourns without action on Chiefs
",We’re not in Kansas anymore. 
1233,"
RJ Davis is returning to North Carolina for a 5th season
","First-team AP All-American RJ Davis is returning to UNC to play his fifth season of eligibility, which could have him ultimately contending for the school and ACC career scoring record."
1234,"
Rafael Nadal plans to play in Rome after a ‘positive’ week in likely his last Madrid Open
","Rafael Nadal left Madrid feeling better about his fitness than he did when he arrived, and is now planning to play in Rome while continuing his preparations for the French Open."
1235,"
Pressley Harvin to try out for Bucs
",The Buccaneers will be looking at a veteran punting option at their rookie minicamp next week. 
1236,"
2024 NFL Draft: Which rookie receivers are target earners? 
",Denny Carter breaks down target-commanding metrics for the draft’s top rookie wideouts.
1237,"
CJ Cup Byron Nelson best bets this week at TPC Craig Ranch
",The PGA Tour heads to Texas for the CJ Cup Byron Nelson. Brad Thomas has a slew of bets that he likes for this week’s tournament. 
1238,"
Olympic golf news, rankings: Changes for South Korea; U.S. battle on women’s side
",There were some changes for South Korean hopefuls on both sides.
1239,"
DT T.J. Smith will try out with Lions in rookie minicamp
",Detroit will have at least one player with some NFL experience in its rookie minicamp. 
1240,"
Upcoming NBA TV deals will make NFL want more
",The NBA is closing in on new TV deals that could double the value of their current ones. 
1241,"
Bucs want Vita Vea to go from being good to being “the dominant guy”
",There’s less of defensive tackle Vita Vea this year and the Buccaneers are hoping it leads to more on the field. 
1242,"
Jessie Bates: It almost feels like I’ve played for Raheem Morris before
",Falcons veteran safety Jessie Bates had not played for Raheem Morris before. 
1243,"
Watch: Tiger Woods reminisces with Carson Daly, explains why his daughter doesn’t play golf
",Woods sat down with Carson Daly of the ‘Today’ show on Wednesday morning.
1244,"
U.S. Olympic fencing team roster finalized for Paris Games
",The U.S. Olympic fencing team for the Paris Games includes 20 athletes.
1245,"
Sergino Dest set for surgery after USMNT tears ACL with PSV Eindhoven
","What’s next for USMNT star Sergino Dest after his ACL tear, as PSV Eindhoven loanee is set to enter final year of Barcelona contract."
1246,"
Royal Troon could feature longest and shortest holes in Open history
",The par-5 sixth and the par-3 eighth holes could both make history this year.
1247,"
University of Houston plans to buck NFL, use Columbia Blue
",The University of Houston has taken a page from the late Bud Adams’s playbook. 
1248,"
Jeremiah Trotter Jr.: I don’t feel pressure to live up to my father’s legacy
",The Eagles went into the draft with an eye on linebacker Jeremiah Trotter Jr. and General Manager Howie Roseman was able to snag the former Clemson star in the fifth round. 
1249,"
CJ Cup Byron Nelson 2024 tee times: Rounds 1 and 2 at TPC Craig Ranch
",Tee times and grouping for the first two rounds of the CJ Cup Byron Nelson.
1250,"
Mixing It Up: Kevin Gausman’s sinker, Dylan Cease’s cutter, and more
",Eric Samulski breaks down four pitchers who are throwing new pitches to see if we should care.
1251,"
2024 NBA Playoffs Takeaways: Tyrese Maxey’s breakout, legacy performance saves 76ers season
",His two 3-pointers in the final 25 seconds of regulation forced OT and staved off elimination for the Sixers.
1252,"
Davante Adams: I don’t regret trade, but Jordan Love is balling right now
","When wide receiver Davante Adams made the move from the Packers to the Raiders, he was leaving behind a partnership with Aaron Rodgers but excited about the chance to play with college teammate Derek Carr. "
1253,"
A.J. Brown: I’m learning to let people have their opinions without responding
",Eagles wide receiver A.J. 
1254,"
Eliud Kipchoge headlines Kenya Olympic marathon team, eyes history in Paris
",Eliud Kipchoge and Peres Jepchirchir look to repeat as Olympic marathon gold medalists in Paris.
1255,"
Bill Romanowski files for bankruptcy as government seeks $15.5 million in back taxes
",Former NFL linebacker Bill Romanowski has filed for bankruptcy after he was sued by the Department of Justice for $15.5 million in unpaid federal taxes. 
1256,"
Total draft audience falls three percent
","Thursday was better than 2023, but Friday and Saturday dragged the number down."
1257,"
Good news, bad news for NASCAR Cup teams ahead of Sunday’s race at Kansas Speedway
","Stewart-Haas Racing’s Josh Berry is moving up in the points, while Daniel Hemric has had back-to-back top 10s."
1258,"
Caleb Williams opens as the betting favorite to be offensive rookie of the year
",Bears quarterback Caleb Williams enters his first NFL season as the betting favorite to win the NFL’s offensive rookie of the year award. 
1259,"
Middleton, Portis each score 29 as Bucks stay alive with 115-92 victory over Pacers in Game 5
","The Bucks were without Antetokounmpo and Lillard, who Doc Rivers said are close to returning. "
1260,"
Evan Mobley with huge block in final seconds helps Cavaliers hold off Banchero, Magic to win Game 5
","Donovan Mitchell scored 28 points, but Mobley’s block on Franz Wagner saved the game."
1261,"
Tyrese Maxey scores 46, keeps 76ers season alive with OT win over Knicks
",Maxey hit a logo 3-pointer to force overtime and was the best player on the court Tuesday night.
1262,"
Report: Bucs declining fifth-year option on OLB Joe Tryon-Shoyinka’s contract
","The Buccaneers are not exercising the fifth-year option on outside linebacker Joe Tryon-Shoyinka’s contract, Greg Auman of TheAthletic.com reports. "
1263,"
Cardinals decline fifth-year option on LB Zaven Collins’ contract
","The Cardinals will decline the fifth-year option on outside linebacker Zaven Collins’ contract, General Manager Monti Ossenfort told Arizona Sports on Tuesday. "
1264,"
Veteran RB Boston Scott agrees to terms with Rams
","Free agent running back Boston Scott has agreed to a one-year deal with the Rams, Adam Schefter of ESPN reports. "
1265,"
18-game season could alter entire NFL schedule
","The season could start earlier, and the offseason tentpoles could happen later."
1266,"
Free agent CB Jerry Jacobs visits the Jaguars
","The Jaguars are hosting veteran cornerback Jerry Jacobs on a free agent visit, Aaron Wilson of KPRC reports. "
1267,"
Drew Petzing: Marvin Harrison Jr. will earn his role
",Receiver Marvin Harrison Jr. was the first non-quarterback drafted last week. 
1268,"
Browns want taxpayers to cover half the cost of stadium solution
","The Browns are considering a $1 billion renovation to their current stadium or a new, $2.4 billion domed stadium in Brook Park. "
1269,"
Injury updates: Celtics’ Kristaps Porzingis officially out for Game 5, reportedly to miss weeks 
","Knicks Bojan Bogdanovic out with foot, wrist surgeries; Clippers’ Kawhi Leonard out for Game 5."
1270,"
Former MVP Mike Trout needs surgery on torn meniscus, Angels hope he can return this season
",The Angels superstar will be sidelined by a major injury for the fourth consecutive season.
1271,"
2025 Way-Too-Early NFL Mock Draft
",Eric Froton runs through his projected first round of next year’s 2025 NFL Draft. 
1272,"
Mike Weir to host International team dinner for Presidents Cup hopefuls
",Weir plans to assemble a group of potential players for this year’s International Presidents Cup team on Tuesday.
1273,"
Jalek Swoll: Supercross podium denied
",Jalek Swoll was two laps away from giving Triumph Motorcycles their first podium in the Monster Energy Supercross series until he crashed with Seth Hammaker in Philadelphia. 
1274,"
Four-Star Lamont Rogers Commits to 2025 All-American Bowl
","Offensive lineman Lamont Rogers (Mesquite, TX/ Horn High School), the four-star prospect has officially accepted his invitation to the 2025 All-American Bowl. "
1275,"
32 All-Americans Selected During 2024 NFL Draft
",The 2024 NFL Draft came to an end on Saturday afternoon. 32 former All-American Bowl participants were selected over the course of the seven rounds. https://x.com/AABonNBC/status/1784399355627163845 2021 All-American Caleb Williams from USC was selected with the No. 1 overall pick. 
1276,"
Joshua Uche on passing up bigger offer: No place I’d rather be than New England
","After Patriots edge rusher Joshua Uche agreed to re-sign with the Patriots last month, there was a report that he passed up a two-year, $15 million offer from another team. "
1277,"
Bayern Munich 2-2 Real Madrid: Vinicius scores twice, Kane once in razor-thin first leg
","It’s games and clubs like these that make the Champions League, the Champions League."
1278,"
2020 AL MVP José Abreu to be optioned by Astros to spring training facility in Florida
","Abreu, in the second season of a $58.5 million, three-year contract, is hitting .099 with just one extra-base hit and three RBIs."
1279,"
Vikings sign P Seth Vernon
","The Vikings signed punter Seth Vernon on Tuesday, according to the NFL’s transactions report. "
1280,"
Broncos to decline Zach Wilson’s fifth-year option
",The Broncos traded for Zach Wilson earlier this month before drafting Oregon quarterback Bo Nix in the first round. 
1281,"
Report: NFL might make push for 18 games before expiration of current CBA
",The league could approach the union about another game soon.
1282,"
Falcons feel great about their QBs “for the next five years, minimum”
",The Falcons have continued to take plenty of heat for selecting quarterback Michael Penix Jr. just over a month after signing Kirk Cousins as a free agent. 
1283,"
Patriots sign OLB Oshane Ximines
","The Patriots have signed outside linebacker Oshane Ximines, Mike Reiss of ESPN reports. "
1284,"
Inside the Christian Barmore deal
",Patriots defensive tackle Christian Barmore has a new contract. 
1285,"
Report: Fox seeks at least $7 million per 30-second Super Bowl commercial
","The Super Bowl is by far America’s most-watched television program each year, and it’s a rare TV event where viewers tune in with plans to watch the commercials. "
1286,"
Cardinals cut CB Quavian White, WR Kaden Davis
",The Cardinals announced a handful of roster moves on Monday and they continued tweaking things on Tuesday. 
1287,"
Celtics’ Brad Stevens voted NBA Executive of the Year by his peers
",Adding Kristaps Porzingis and Jrue Holiday to an already stacked roster earned Stevens the award.
1288,"
Kyle Petty ‘amazed, humbled’ by continued support for Kyle Petty Charity Ride
",The Kyle Petty Charity Ride begins Saturday and takes a new path across the United States. 
1289,"
Jaguars will not exercise 2025 option on Mac Jones’s contract
","The Jaguars announced over the weekend that they are exercising their fifth-year options on the contracts of quarterback Trevor Lawrence and running back Travis Etienne, but they did not make an announcement about a third option. "
1290,"
Rhamondre Stevenson: I’d love to be here for countless years
","A fourth-round pick in 2021, running back Rhamondre Stevenson has been a key part of New England’s offense for the last three years. "
1291,"
Jerod Mayo: Drake Maye, Jacoby Brissett will compete for the starting job
",The Patriots have started five quarterbacks in the four years since Tom Brady left. 
1292,"
Cowboys sign WR Tyron Billy-Johnson
",Wide receiver Tyron Billy-Johnson is back with the Cowboys. 
1293,"
LIV Golf to hold individual championship at public Illinois course (with an island green!)
","Bolingbrook Golf Club will host the Sept. 13-15 individual championship, the penultimate event of LIV Golf’s season."
1294,"
Jaguars agree to terms with 13 undrafted free agents
",The Jaguars announced 13 agreements with undrafted free agents on Tuesday. 
1295,"
Bears favored to have their first winning season since 2018
",The Bears haven’t finished with a winning record since 2018. 
1296,"
Timberwolves coach Chris Finch to undergo knee surgery
",His availability for Game 1 against Denver on Saturday is unclear.
1297,"
Zach Sieler calls it bittersweet to see Christian Wilkins get paid elsewhere
","For the last five seasons, Zach Sieler played alongside Christian Wilkins on the Dolphins defensive line. "
1298,"
A.J. Brown: Being highest-paid WR means nothing, I want to prove it
",Brown signed a contract extension with the Eagles last week. 
1299,"
QB John Paddock among undrafted rookies to agree to deals with Falcons
",The Falcons are adding another quarterback to their roster. 
1300,"
2024 Post-Draft Dynasty Rookie Rankings: Quarterback
",Kyle Dvorchak breaks down his rookie quarterback rankings for dynasty leagues following the 2024 NFL Draft.
1301,"
Jaylon Johnson “cleared the air” with Caleb Williams
",Bears cornerback Jaylon Johnson’s first interaction with new teammate Caleb Williams concerned something Johnson said before the quarterback was drafted with the first overall pick. 
1302,"
Sarah Adam becomes first woman named to U.S. Paralympic wheelchair rugby team
",The U.S. wheelchair rugby team was announced for the 2024 Paris Paralympics.
1303,"
Will Zalatoris withdraws from CJ Cup Byron Nelson after back flare-up
",Zalatoris pulled out of one of his hometown PGA Tour events on Tuesday after a flare-up with his surgically repaired back.
1304,"
2024 World Athletics Relays TV, live stream schedule
",How to watch the 2024 World Athletics Relays from the Bahamas on NBC Sports and Peacock.
1305,"
Kansas works on pitch to get Chiefs to leave Missouri
","If the Chiefs move, they might not be moving far. "
